Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Maakond;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Kaive;Tootajaid
01834351;LOMBI-13, GARAAŽIKOOPERATIIV;Äriühing;ei;;Harju ( Tallinn );52,38;0;;
10000018;AMSERV AUTO OSAÜHING;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );2353138,26;1183236,37;33597136,02;244
10000024;EESTI RAAMAT, OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );34582,84;29378,12;209261,65;9
10000062;ALDO KOPPEL;FIE;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Ida-Viru ( Lüganuse vald );0;0;390,51;
10000127;ARAVETE APTEEK, TÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Järva ( Järva vald );11846,34;7925,07;197397,33;2
10000165;KIVIÕLI KAUBAHOOV, AS;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Ida-Viru ( Lüganuse vald );183844,3;75725,17;1337801,63;35
10000219;YEAR, AS;Äriühing;ei;TÖÖTLEV TÖÖSTUS;Harju ( Anija vald );75,82;75,82;0;
10000248;ITW CONSTRUCTION PRODUCTS OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );99147,7;14991,99;694508,99;3
10000356;ESTIKO, AS;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );395968,45;74234,24;2657346,47;17
10000372;SAARIOINEN EESTI OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Rapla ( Rapla vald );623483,36;396249,78;5305871,97;92
10000395;KUUMTRÜKK, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );11112,82;7686,41;26388,43;6
10000455;EHITUSMEISTER, OÜ;Äriühing;jah;EHITUS;Võru ( Võru linn );7103,04;5697,24;27991,19;4
10000461;MUAREE, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Võru ( Võru linn );229,96;82,62;3608,46;1
10000515;B.BRAUN MEDICAL, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );853097,43;342394,87;5493353,3;32
10000550;GPK PARTNERID, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );22208,18;15011,32;56259,63;7
10000573;AKTSIASELTS METAPRINT;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );1457698,89;1064298,95;35253845,93;259
10000610;KITOON, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Võru ( Antsla vald );4008,75;2288,79;17484,54;3
10000774;CASUS, UÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Tartu ( Tartu linn );454,13;0;13392,45;
