Registrikood;Nimi;Liik;Registreeritud käibemaksukohustuslaste registrisse;EMTAK tegevusvaldkond, mis on EMTAKi struktuuris tähistatud tähtkoodiga;Maakond;Riiklikud Maksud;Tööjõumaksud Ja Maksed;Kaive;Tootajaid
01834575;KUNDERI 24, GARAAŽIKOOPERATIIV;Äriühing;ei;;Harju ( Tallinn );267,58;0;;
10000018;AMSERV AUTO OSAÜHING;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );2190834,25;1163071,36;26332597,49;240
10000024;EESTI RAAMAT, OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );36888,04;29191,34;216846,4;10
10000062;ALDO KOPPEL;FIE;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Ida-Viru ( Lüganuse vald );713,68;0;4704,14;
10000127;ARAVETE APTEEK, TÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Järva ( Järva vald );10701,69;8055,36;185098,43;2
10000165;KIVIÕLI KAUBAHOOV, AS;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Ida-Viru ( Lüganuse vald );261127,79;97242,39;1488802,97;35
10000248;ITW CONSTRUCTION PRODUCTS OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );109862,18;17624,36;742811,87;3
10000356;ESTIKO, AS;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );417708,48;73803,65;2699156,54;17
10000372;SAARIOINEN EESTI OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Rapla ( Rapla vald );606504;322092,67;5486335,54;85
10000395;KUUMTRÜKK, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );11561,9;7573,54;25697,66;6
10000455;EHITUSMEISTER, OÜ;Äriühing;jah;EHITUS;Võru ( Võru linn );10324,63;6584,44;62609,9;3
10000461;MUAREE, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Võru ( Võru linn );466,83;82,62;2603,34;1
10000515;B.BRAUN MEDICAL, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );731025,41;305221,2;4752659,87;33
10000550;GPK PARTNERID, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );21007,14;14366,48;48777,46;7
10000573;AKTSIASELTS METAPRINT;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );1469422,81;1365932,78;35164495,22;256
10000610;KITOON, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Võru ( Antsla vald );4672,27;2288,79;19219,87;3
10000774;CASUS, UÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Tartu ( Tartu linn );0;0;14696,98;
10000805;ELKE TALLINN AS;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );1063663,38;692764,38;17749975,59;136
10000811;DINER OSAÜHING;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Lääne-Viru ( Väike-Maarja vald );79635,84;22764,68;560407,17;9
10000828;B & P OIL, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Tartu ( Tartu linn );8040,38;2003,88;66766,02;2
10000840;REWERA OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Kambja vald );755,33;0;4784,85;
10000900;ÕITSENG, OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Lääne-Viru ( Haljala vald );111661,61;71648,97;730703,68;25
10001012;SOLINGER INVEST OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Tartu linn );881,5;397,78;7633,04;1
10001118;SEMIDOR, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Tartu ( Tartu linn );3593,68;3061,68;64597,45;2
10001166;TOPAUTO, AS;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );1989409,73;300016,36;16031192,53;66
10001259;ATLANTISE KIRJASTUS, OÜ;Äriühing;jah;INFO JA SIDE;Lääne ( Vormsi vald );3,16;0;48,5;
10001288;SLOPS, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );470,52;510,12;0;1
10001302;ARTUSE OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Harju ( Tallinn );1094,11;329;;
10001348;A & D TEHNOTEENISTUSE OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Harju ( Tallinn );451,91;0;17387;
10001383;KEK ELEKTER, OÜ;Äriühing;jah;EHITUS;Lääne-Viru ( Rakvere vald );51345,16;41568,44;1010487,75;21
10001437;VERSKA MINERAALVEE OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Võru ( Setomaa vald );113470,27;67144,49;431540,05;11
10001561;RELYX, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );107328,11;19294,95;609021,91;5
10001584;JANERE, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Saue vald );296503,25;156394,9;34655,81;12
10001590;KATUS AS;Äriühing;jah;EHITUS;Lääne-Viru ( Väike-Maarja vald );17611,78;140;87135;
10001689;ESTIKO-PLASTAR, AS;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Tartu ( Tartu linn );799524,21;832417,22;14955874,51;196
10001710;AHTO ÄRITEENUSTE OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Jõgeva ( Põltsamaa vald );1064,34;556,72;;2
10001791;ILMRE OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Tartu ( Tartu linn );71365,96;75002,56;1132371,3;30
10001839;OÜ BRAMHAM TRADE;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );47528,2;20740,31;301716,03;9
10001880;SPIDER AUTOGRUPP, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Lääne-Viru ( Rakvere linn );1603,68;0;9713,53;
10001905;TENTAMEN, OÜ;Äriühing;ei;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );1685,5;1529,64;;2
10001928;K-KREEDIT, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Järva ( Türi vald );8083,07;4881,39;17214,4;2
10001940;AUTO ID OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );32078,79;11547,85;209752,91;3
10001957;CE TEHNIKA OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Tallinn );270,86;0;2164,46;1
10001992;REISIBÜROO MERE, OÜ;Äriühing;jah;HALDUS- JA ABITEGEVUSED;Saare ( Saaremaa vald );0;0;1225,74;
10002098;TAASTUSRAVIKESKUS VIIKING, AS;Äriühing;jah;MAJUTUS JA TOITLUSTUS;Pärnu ( Pärnu linn );264174,11;171909,74;1823979,25;112
10002129;SPATIUM, OÜ;Äriühing;ei;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );250,55;265,05;;
10002135;EVOLER, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Võru ( Võru linn );12373,07;2990;34280,15;
10002201;SCANWOOD, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Valga ( Otepää vald );4407,55;2357,73;15201,67;2
10002218;AMIDON OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Tartu ( Tartu linn );11270,34;4891,62;36353,73;5
10002282;KREEGIMÄE TALU;FIE;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Lääne-Viru ( Kadrina vald );744,69;840,39;0;1
10002307;AUTOKLANTS, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Lääne-Viru ( Rakvere linn );6470,09;4229,93;16320,01;2
10002324;TEBO GRUPP, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Viimsi vald );415,12;0;3130,51;
10002342;LÕUNAIDU, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Rae vald );20107,67;9013,59;78038,44;4
10002365;FOTLAND, OÜ;Äriühing;jah;TÖÖTLEV TÖÖSTUS;Harju ( Viimsi vald );50;50;0;1
10002371;HAVERA, OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Harku vald );8464,5;6155,01;64775,58;3
10002388;DESTEIN OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Rae vald );13730,76;7669,81;45121,6;2
10002394;ALLFILM, OÜ;Äriühing;jah;INFO JA SIDE;Harju ( Tallinn );0;21200,43;2963568,13;23
10002419;PLAMOST, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Harju ( Tallinn );1675,09;0;7614,05;
10002543;HAAPSALU PEREARST, TÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Lääne ( Haapsalu linn );56628,15;34178,03;;8
10002572;TEXLIN, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Harju ( Tallinn );24313,8;20647,98;179222,46;8
10002589;UHTNA POOD, OÜ;Äriühing;jah;"HULGI- JA JAEKAUBANDUS; MOOTORSÕIDUKITE JA MOOTORRATASTE REMONT";Lääne-Viru ( Rakvere vald );8665,63;5117,91;66862,03;3
10002715;MACULA, OÜ;Äriühing;ei;TERVISHOID JA SOTSIAALHOOLEKANNE;Ida-Viru ( Lüganuse vald );10937,42;10913,6;;3
10002750;TEIMRA, OÜ;Äriühing;jah;EHITUS;Tartu ( Kambja vald );1722,04;446,92;11238,1;1
10002862;JAHVATAJA, OÜ;Äriühing;jah;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;Lääne-Viru ( Rakvere vald );61371,12;4557,32;460511,32;3
10002922;TOPLEX, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Saare ( Saaremaa vald );514,77;0;3434,93;
10002939;HEINO LÄÄN, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Viljandi ( Viljandi vald );1857,98;0;11898,3;
10002945;AUDIITORIBÜROO REVISOR, OÜ;Äriühing;jah;FINANTS- JA KINDLUSTUSTEGEVUS;Viljandi ( Viljandi linn );17134,28;4663,21;62333,18;3
10003011;ATRENDA, OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );4147,39;2175,46;16533,68;4
10003034;KERRI C & M, OÜ;Äriühing;jah;KINNISVARAALANE TEGEVUS;Viljandi ( Viljandi linn );814,7;71,28;8127,23;1
10003040;DIMEDIUM GROUP OÜ;Äriühing;jah;KUTSE-, TEADUS- JA TEHNIKAALANE TEGEVUS;Tartu ( Tartu linn );40938,08;25808,14;195658,4;5
